Año;Numero de Mes;Mes;Destino;Volumen Exportado (kg);Valor FOB (USD);Precio FOB por kg (USD)
2019;12;Diciembre;Lebanon;;;
2019;12;Diciembre;Others;;;
2019;12;Diciembre;Spain;;;
2019;12;Diciembre;Syria;;;
2019;12;Diciembre;USA;;;
2020;1;Enero;Chile;;;
2020;1;Enero;Lebanon;;;
2020;1;Enero;Others;;;
2020;1;Enero;Spain;;;
2020;1;Enero;Syria;;;
2020;1;Enero;USA;;;
2020;2;Febrero;Chile;;;
2020;2;Febrero;Lebanon;;;
2020;2;Febrero;Others;;;
2020;2;Febrero;Spain;;;
2020;2;Febrero;Syria;;;
2020;2;Febrero;USA;;;
2020;3;Marzo;Chile;;;
2020;3;Marzo;Lebanon;;;
2020;3;Marzo;Others;;;
2020;3;Marzo;Spain;;;
2020;3;Marzo;Syria;;;
2020;3;Marzo;USA;;;
2020;4;Abril;Chile;;;
2020;4;Abril;Lebanon;;;
2020;4;Abril;Others;;;
2020;4;Abril;Spain;;;
2020;4;Abril;Syria;;;
2020;4;Abril;USA;;;
2020;5;Mayo;Chile;;;
2020;5;Mayo;Lebanon;;;
2020;5;Mayo;Others;;;
2020;5;Mayo;Spain;;;
2020;5;Mayo;Syria;;;
2020;5;Mayo;USA;;;
2020;6;Junio;Chile;;;
2020;6;Junio;Lebanon;;;
2020;6;Junio;Others;;;
2020;6;Junio;Spain;;;
2020;6;Junio;Syria;;;
2020;6;Junio;USA;;;
2020;7;Julio;Chile;;;
2020;7;Julio;Lebanon;;;
2020;7;Julio;Others;;;
2020;7;Julio;Spain;;;
2020;7;Julio;Syria;;;
2020;7;Julio;USA;;;
2020;8;Agosto;Chile;;;
2020;8;Agosto;Lebanon;;;
2020;8;Agosto;Others;;;
2020;8;Agosto;Spain;;;
2020;8;Agosto;Syria;;;
2020;8;Agosto;USA;;;
2020;9;Septiembre;Chile;;;
2020;9;Septiembre;Lebanon;;;
2020;9;Septiembre;Others;;;
2020;9;Septiembre;Spain;;;
2020;9;Septiembre;Syria;;;
2020;9;Septiembre;USA;;;
2020;10;Octubre;Chile;;;
2020;10;Octubre;Lebanon;;;
2020;10;Octubre;Others;;;
2020;10;Octubre;Spain;;;
2020;10;Octubre;Syria;;;
2020;10;Octubre;USA;;;
2020;11;Noviembre;Chile;;;
2020;11;Noviembre;Lebanon;;;
2020;11;Noviembre;Others;;;
2020;11;Noviembre;Spain;;;
2020;11;Noviembre;Syria;;;
2020;11;Noviembre;USA;;;
2020;12;Diciembre;Chile;;;
2020;12;Diciembre;Lebanon;;;
2020;12;Diciembre;Others;;;
2020;12;Diciembre;Spain;;;
2020;12;Diciembre;Syria;;;
2020;12;Diciembre;USA;;;
2021;1;Enero;Chile;;;
2021;1;Enero;Lebanon;;;
2021;1;Enero;Others;;;
2021;1;Enero;Spain;;;
2021;1;Enero;Syria;;;
2021;1;Enero;USA;;;
2021;2;Febrero;Chile;;;
2021;2;Febrero;Lebanon;;;
2021;2;Febrero;Others;;;
2021;2;Febrero;Spain;;;
2021;2;Febrero;Syria;;;
2021;2;Febrero;USA;;;
2021;3;Marzo;Chile;;;
2021;3;Marzo;Lebanon;;;
2021;3;Marzo;Others;;;
2021;3;Marzo;Spain;;;
2021;3;Marzo;Syria;;;
2021;3;Marzo;USA;;;
2021;4;Abril;Chile;;;
2021;4;Abril;Lebanon;;;
2021;4;Abril;Others;;;
2021;4;Abril;Spain;;;
2021;4;Abril;Syria;;;
2021;4;Abril;USA;;;
2021;5;Mayo;Chile;;;
2021;5;Mayo;Lebanon;;;
2021;5;Mayo;Others;;;
2021;5;Mayo;Spain;;;
2021;5;Mayo;Syria;;;
2021;5;Mayo;USA;;;
2021;6;Junio;Chile;;;
2021;6;Junio;Lebanon;;;
2021;6;Junio;Others;;;
2021;6;Junio;Spain;;;
2021;6;Junio;Syria;;;
2021;6;Junio;USA;;;
2021;7;Julio;Chile;;;
2021;7;Julio;Lebanon;;;
2021;7;Julio;Others;;;
2021;7;Julio;Spain;;;
2021;7;Julio;Syria;;;
2021;7;Julio;USA;;;
2021;8;Agosto;Chile;;;
2021;8;Agosto;Lebanon;;;
2021;8;Agosto;Others;;;
2021;8;Agosto;Spain;;;
2021;8;Agosto;Syria;;;
2021;8;Agosto;USA;;;
2021;9;Septiembre;Chile;;;
2021;9;Septiembre;Lebanon;;;
2021;9;Septiembre;Others;;;
2021;9;Septiembre;Spain;;;
2021;9;Septiembre;Syria;;;
2021;9;Septiembre;USA;;;
2021;10;Octubre;Chile;;;
2021;10;Octubre;Lebanon;;;
2021;10;Octubre;Others;;;
2021;10;Octubre;Spain;;;
2021;10;Octubre;Syria;;;
2021;10;Octubre;USA;;;
2021;11;Noviembre;Chile;;;
2021;11;Noviembre;Lebanon;;;
2021;11;Noviembre;Others;;;
2021;11;Noviembre;Spain;;;
2021;11;Noviembre;Syria;;;
2021;11;Noviembre;USA;;;
2021;12;Diciembre;Chile;;;
2021;12;Diciembre;Lebanon;;;
2021;12;Diciembre;Others;;;
2021;12;Diciembre;Spain;;;
2021;12;Diciembre;Syria;;;
2021;12;Diciembre;USA;;;
2022;1;Enero;Chile;;;
2022;1;Enero;Lebanon;;;
2022;1;Enero;Others;;;
2022;1;Enero;Spain;;;
2022;1;Enero;Syria;;;
2022;1;Enero;USA;;;
2022;2;Febrero;Chile;;;
2022;2;Febrero;Lebanon;;;
2022;2;Febrero;Others;;;
2022;2;Febrero;Spain;;;
2022;2;Febrero;Syria;;;
2022;2;Febrero;USA;;;
2022;3;Marzo;Chile;;;
2022;3;Marzo;Lebanon;;;
2022;3;Marzo;Others;;;
2022;3;Marzo;Spain;;;
2022;3;Marzo;Syria;;;
2022;3;Marzo;USA;;;
2022;4;Abril;Chile;;;
